path,line_count,bucket,waived,waiver_status,waiver_baseline_lines
src/minigpt/ptq_v1175.py,336,within_limit,False,not_waived,
src/minigpt/maturity_narrative_summary.py,335,within_limit,False,not_waived,
src/minigpt/manifest.py,334,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_constrained_decode_feasibility.py,334,within_limit,False,not_waived,
src/minigpt/baseline_candidate_threshold_boundary_smoke.py,333,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_coverage.py,330,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_prompt_leading_corpus.py,330,within_limit,False,not_waived,
src/minigpt/model_capability_route_promotion_release_readiness_summary.py,330,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_coexistence_refresh.py,329,within_limit,False,not_waived,
tests/test_baseline_candidate_eval_loop.py,327,within_limit,False,not_waived,
src/minigpt/server_contracts.py,326,within_limit,False,not_waived,
src/minigpt/spec_decode_v1170_core.py,326,within_limit,False,not_waived,
tests/test_benchmark_scorecard_comparison.py,326,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_balanced_corpus.py,325,within_limit,False,not_waived,
src/minigpt/training_scale_workflow.py,325,within_limit,False,not_waived,
src/minigpt/randomized_holdout_publication_decision_index.py,324,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_balanced_training.py,323,within_limit,False,not_waived,
src/minigpt/promoted_training_scale_seed_handoff_review.py,323,within_limit,False,not_waived,
src/minigpt/training_scale_workflow_artifacts.py,323,within_limit,False,not_waived,
src/minigpt/model_capability_stall_diagnostic.py,319,within_limit,False,not_waived,
src/minigpt/promoted_training_scale_seed_handoff.py,319,within_limit,False,not_waived,
tests/test_architecture_boundaries.py,319,within_limit,False,not_waived,
tests/test_release_gate_comparison.py,319,within_limit,False,not_waived,
scripts/check_ci_tiny_scorecard_plan.py,318,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_seed_config_heldout_replay.py,318,within_limit,False,not_waived,
src/minigpt/training_scale_run_decision_artifacts.py,317,within_limit,False,not_waived,
src/minigpt/request_history.py,316,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_loss_branch_sweep_components.py,314,within_limit,False,not_waived,
src/minigpt/project_docs_readability.py,314,within_limit,False,not_waived,
src/minigpt/unassisted_holdout_repair_replay_comparison_v1151.py,314,within_limit,False,not_waived,
src/minigpt/unassisted_loss_suffix_repair_replay_comparison_v1155.py,314,within_limit,False,not_waived,
src/minigpt/model_capability_route_promotion_bounded_objective_replay_comparison.py,313,within_limit,False,not_waived,
src/minigpt/model_capability_route_promotion_bounded_rebalanced_intervention_decision.py,313,within_limit,False,not_waived,
src/minigpt/training_scale_handoff_artifacts.py,313,within_limit,False,not_waived,
tests/test_script_bootstrap.py,313,within_limit,False,not_waived,
tests/test_spec_decode_v1170.py,312,within_limit,False,not_waived,
src/minigpt/test_coverage_report.py,311,within_limit,False,not_waived,
tests/test_model_capability_required_term_pair_rebalance.py,310,within_limit,False,not_waived,
src/minigpt/grok_paired_contrast_v1182.py,309,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_generation_internal_alignment_comparison.py,309,within_limit,False,not_waived,
src/minigpt/training_scale_gate.py,309,within_limit,False,not_waived,
src/minigpt/bounded_objective_loss_signal_bridge_target_only_memory_stagnation_aware_suffix_replay_delta_diagnostic.py,308,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_fixed_retention_batch_closeout.py,308,within_limit,False,not_waived,
src/minigpt/project_audit_artifacts.py,308,within_limit,False,not_waived,
tests/test_model_capability_required_term_pair_rebalance_seed_stability.py,308,within_limit,False,not_waived,
scripts/run_tiny_scorecard_comparison_smoke.py,307,within_limit,False,not_waived,
src/minigpt/baseline_candidate_handoff_check.py,305,within_limit,False,not_waived,
src/minigpt/release_gate_comparison.py,305,within_limit,False,not_waived,
tests/test_benchmark_history.py,305,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_surface_variant_selector.py,304,within_limit,False,not_waived,
src/minigpt/release_readiness_artifacts.py,304,within_limit,False,not_waived,
scripts/run_ci_tiny_scorecard_comparison_smoke.py,303,within_limit,False,not_waived,
src/minigpt/bounded_objective_loss_signal_bridge_target_only_memory_patch.py,303,within_limit,False,not_waived,
src/minigpt/grok_wd_law_v1183.py,302,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_decode_boundary_check.py,302,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_split_seed_stability.py,302,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_equals_surface_repair_comparison_artifacts.py,300,within_limit,False,not_waived,
src/minigpt/ci_workflow_hygiene_artifacts.py,299,within_limit,False,not_waived,
src/minigpt/model_card.py,298,within_limit,False,not_waived,
src/minigpt/randomized_target_hidden_holdout_suite.py,298,within_limit,False,not_waived,
tests/test_training_portfolio_batch.py,298,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_first_token_preference.py,297,within_limit,False,not_waived,
src/minigpt/unassisted_holdout_repair_seed_corpus_v1149.py,297,within_limit,False,not_waived,
src/minigpt/unassisted_holdout_repair_training_run_v1150.py,297,within_limit,False,not_waived,
src/minigpt/unassisted_loss_suffix_repair_training_run_v1154.py,297,within_limit,False,not_waived,
src/minigpt/_root_public_exports.py,296,within_limit,False,not_waived,
src/minigpt/distill_v1172.py,296,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_loss_alias_newline_suppression_probe.py,296,within_limit,False,not_waived,
src/minigpt/model_capability_route_promotion_bounded_real_replay_decoder_anchor_failure_diagnostic.py,296,within_limit,False,not_waived,
src/minigpt/model_capability_route_promotion_bounded_real_replay_prompt_aligned_failure_diagnostic.py,293,within_limit,False,not_waived,
tests/test_training_scale_run_comparison.py,293,within_limit,False,not_waived,
src/minigpt/dpo_preference_v1166_core.py,292,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_readiness_direct_completion_pair_probe_replay.py,292,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_branch_retention_sweep_components.py,291,within_limit,False,not_waived,
src/minigpt/benchmark_scorecard_comparison_deltas.py,290,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_seed_config_replay.py,290,within_limit,False,not_waived,
src/minigpt/release_bundle_contexts.py,290,within_limit,False,not_waived,
src/minigpt/promoted_training_scale_seed_handoff_receipt_outputs.py,289,within_limit,False,not_waived,
src/minigpt/randomized_target_hidden_holdout_replay_review.py,289,within_limit,False,not_waived,
tests/test_training_scale_run.py,289,within_limit,False,not_waived,
src/minigpt/bounded_objective_loss_signal_bridge_pair_binding_patch.py,288,within_limit,False,not_waived,
src/minigpt/bounded_objective_loss_signal_bridge_target_only_memory_loss_suffix_replay_regression_diagnostic.py,288,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_surface_baseline_contrast.py,287,within_limit,False,not_waived,
tests/test_promoted_training_scale_seed_handoff_receipt_contract_check.py,286,within_limit,False,not_waived,
src/minigpt/randomized_holdout_publication_receipt_packet_index_publication_index_v981.py,285,within_limit,False,not_waived,
